Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
Invesco,GRPM,Invesco S&P MidCap 400® GARP ETF,4,Average,Silver,3.0,100.0,100.0,100.0,100.0,100.0,100.0
Invesco,OIA,Invesco Municipal Income Opportunities Trust,5,Average,,,91.0,91.0,91.0,91.0,91.0,97.0
BlackRock,MIY,"BlackRock MuniYield Michigan Quality Fund, Inc.",4,Average,,,80.7,80.7,80.7,80.7,80.7,36.9
First Trust,RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,4,Average,Neutral,3.0,77.2,77.2,77.2,77.2,77.2,77.2
iShares,IMCV,iShares Morningstar Mid-Cap Value ETF,4,Average,Bronze,3.0,77.1,77.1,77.1,77.1,77.1,79.4
SPDR,STOT,State Street® DoubleLine® Short Duration Total Return Tactical ETF,4,Low,Bronze,,76.0,76.0,76.0,76.0,86.3,21.8
JPMorgan,BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF,4,Average,Bronze,3.0,75.8,75.8,75.8,75.8,75.8,75.8
BlackRock,MUA,BlackRock MuniAssets Fund,4,Average,,,75.5,75.5,75.5,79.5,90.3,57.1
iShares,EUSA,iShares MSCI USA Equal Weighted ETF,4,Below Average,Bronze,4.0,74.5,74.5,74.5,74.5,74.5,77.8
JPMorgan,JPRE,JPMorgan Realty Income ETF,4,Below Average,Gold,3.0,73.2,73.2,73.2,73.2,73.2,73.2
Invesco,IUS,Invesco RAFI™ Strategic US ETF,5,Average,Silver,3.0,70.7,70.7,70.7,70.7,70.7,85.3
Invesco,GOVI,Invesco Equal Weight 0-30 Year Treasury ETF,4,Below Average,Bronze,3.0,70.5,70.5,70.5,71.4,44.5,21.1
Invesco,IBBQ,Invesco Nasdaq Biotechnology ETF,4,Average,Bronze,2.0,69.5,69.5,69.5,69.5,69.5,79.5
iShares,STIP,iShares 0-5 Year TIPS Bond ETF,4,Low,Gold,3.0,66.7,66.7,56.9,61.8,67.5,86.9
First Trust,LGOV,First Trust Long Duration Opportunities ETF,4,Below Average,Neutral,,66.6,66.6,66.6,68.1,41.2,39.6
iShares,TLH,iShares 10-20 Year Treasury Bond ETF,4,Below Average,Bronze,3.0,65.9,65.9,59.3,66.5,66.2,83.7
SPDR,SPTI,State Street® SPDR® Portfolio Intermediate Term Treasury ETF,4,Below Average,Silver,3.0,65.7,65.7,35.3,53.3,44.1,13.3
Vanguard,VGIT,Vanguard Intermediate-Term Treasury Index Fund ETF Shares,4,Below Average,Silver,3.0,65.3,65.3,59.6,68.6,64.9,94.0
JPMorgan,JMUB,JPMorgan Municipal ETF,4,Average,Silver,,64.5,64.5,64.1,79.3,55.2,77.4
JPMorgan,JCPB,JPMorgan Core Plus Bond ETF,4,Average,Gold,3.0,64.4,64.4,62.9,65.6,69.6,71.1
Vanguard,VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund ETF Shares,4,Below Average,Gold,3.0,64.3,64.3,65.6,63.2,63.6,95.6
iShares,IEI,iShares 3-7 Year Treasury Bond ETF,4,Below Average,Neutral,3.0,63.8,63.8,42.5,43.9,31.7,44.6
BlackRock,BLW,BlackRock Limited Duration Income,4,Below Average,,,63.7,63.7,63.7,58.6,63.0,34.2
Invesco,XMLV,Invesco S&P MidCap Low Volatility ETF,4,Low,Neutral,5.0,63.2,63.2,63.2,63.2,63.2,86.3
iShares,IEF,iShares 7-10 Year Treasury Bond ETF,5,Low,Bronze,3.0,61.8,61.8,53.5,60.1,58.6,86.2
SPDR,CWI,State Street® SPDR® MSCI ACWI ex-US ETF,4,Below Average,Bronze,2.0,61.6,61.6,61.6,51.2,17.2,10.0
Invesco,RWL,Invesco S&P 500 Revenue ETF,5,Average,Silver,3.0,61.0,61.0,61.0,67.2,66.1,80.7
Dimensional,DFAE,Dimensional Emerging Core Equity Market ETF,4,Average,Silver,2.0,59.7,59.7,64.6,64.6,80.3,94.6
First Trust,FTHI,First Trust BuyWrite Income ETF,4,Average,Neutral,3.0,59.5,59.5,59.4,53.8,40.0,30.2
Morgan Stanley,EVN,Eaton Vance Municipal Income Trust,4,Below Average,,,59.2,59.2,59.2,59.2,42.5,100.0
iShares,SHYM,iShares Short Duration High Yield Muni Active ETF,5,Average,Bronze,,58.5,58.5,58.5,62.8,65.2,100.0
State Street,HEDG,Equable Shares Hedged Equity ETF,4,Below Average,,3.0,58.5,58.5,58.5,58.5,58.5,35.1
Invesco,IMVP,Invesco India ETF,4,Below Average,Neutral,3.0,58.2,58.2,58.2,58.2,58.2,87.2
SPDR,SPIB,State Street® SPDR® Portfolio Intermediate Term Corporate Bond ETF,4,Low,Silver,3.0,57.9,57.9,60.9,46.6,39.3,90.6
iShares,IAGG,iShares Core International Aggregate Bond ETF,4,Below Average,Bronze,3.0,57.2,57.2,52.6,50.8,25.3,100.0
iShares,NEAR,iShares Short Duration Bond Active ETF,4,Low,Gold,,57.1,57.1,53.9,34.5,29.6,1.1
First Trust,EIPX,FT Energy Income Partners Strategy ETF,5,Low,Neutral,2.0,57.0,57.0,57.0,57.0,57.0,40.4
SPDR,XLC,State Street® Communication Services Select Sector SPDR® ETF,4,Average,Neutral,3.0,56.6,56.6,64.7,75.1,84.6,54.2
iShares,IWP,iShares Russell Mid-Cap Growth ETF,4,Average,Bronze,3.0,56.2,56.2,52.5,53.3,48.6,56.3
JPMorgan,JMST,JPMorgan Ultra-Short Municipal Income ETF,4,Below Average,Silver,,56.0,56.0,54.5,54.0,71.8,87.4
Invesco,VRP,Invesco Variable Rate Preferred ETF,5,Below Average,Bronze,2.0,55.8,55.8,55.8,47.9,36.6,23.6
First Trust,FTLS,First Trust Long/Short Equity ETF,4,Below Average,Neutral,4.0,55.7,55.7,55.7,55.7,57.9,48.2
